# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000087301.9_1	ENSG00000087301.9	TXNDC16	chr14	-	ENSG00000087301.9:t:52457090-52457174	ENSG00000087301.9_1_afe_1	False	False	52457090-52457174	A	52462812-52462970	Proximal	52457174-52462812	False	False	False	0.082	0.111	0.016	0.571	0.118
ENSG00000087301.9_1	ENSG00000087301.9	TXNDC16	chr14	-	ENSG00000087301.9:t:52457090-52457174	ENSG00000087301.9_1_afe_1	False	False	52457090-52457174	A	52470037-52470173	Distal	52457174-52470037	False	False	False	0.918	0.889	-0.016	0.571	0.118
ENSG00000146247.15_5	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:t:78955613-78956112	ENSG00000146247.15_5_afe_1	True	False	78955613-78956112	A	78957684-78958100	Proximal	78956113-78957683	False	False	False	0.537	0.341	-0.119	0.82	0.018
ENSG00000146247.15_5	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:t:78955613-78956112	ENSG00000146247.15_5_afe_1	True	False	78955613-78955682	A	78958475-78960356	Distal	78955682-78958475	False	False	False	0.463	0.659	0.119	0.82	0.018
ENSG00000290385.1_3	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:501556-501620	ENSG00000290385.1_3_afe_1	True	False	501556-501620	A	502187-502243	Proximal	501620-502187	False	False	False	0.799	0.827	0.019	0.574	0.127
ENSG00000290385.1_3	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:501556-501620	ENSG00000290385.1_3_afe_1	True	False	501556-501620	A	502465-502661	Distal	501620-502465	False	False	False	0.096	0.044	-0.028	0.601	0.131
ENSG00000290385.1_3	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:501556-501620	ENSG00000290385.1_3_afe_2	True	False	501556-501620	A	502187-502243	Proximal	501620-502187	False	False	False	0.799	0.827	0.019	0.574	0.127
ENSG00000290385.1_3	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:501556-501620	ENSG00000290385.1_3_afe_2	True	False	501556-501620	A	502862-502955	Distal	501620-502862	False	False	False	0.105	0.126	0.008	0.566	0.139
ENSG00000290385.1_4	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:498399-498456	ENSG00000290385.1_4_afe_1	True	False	498399-498456	A	498684-498976	Proximal	498456-498684	False	False	False	0.485	0.639	0.141	0.823	0.013
ENSG00000290385.1_4	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:498399-498456	ENSG00000290385.1_4_afe_1	True	False	498399-498456	A	501556-501620	Distal	498456-501556	False	False	False	0.515	0.361	-0.141	0.823	0.013
ENSG00000290385.1_6	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:494992-495049	ENSG00000290385.1_6_afe_1	False	False	494992-495049	A	495277-495476	Proximal	495049-495277	False	False	False	0.134	0.301	0.105	0.779	0.023
ENSG00000290385.1_6	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:494992-495049	ENSG00000290385.1_6_afe_1	False	False	494992-495049	A	497109-497228	Distal	495049-497109	False	False	False	0.858	0.69	-0.106	0.78	0.023
ENSG00000134046.12_1	ENSG00000134046.12	MBD2	chr18	-	ENSG00000134046.12:t:54166076-54166166	ENSG00000134046.12_1_afe_1	True	False	54166076-54166166	A	54187714-54187837	Proximal	54166166-54187714	False	False	False	0.051	0.033	-0.01	0.416	0.338
ENSG00000134046.12_1	ENSG00000134046.12	MBD2	chr18	-	ENSG00000134046.12:t:54166076-54166166	ENSG00000134046.12_1_afe_1	True	False	54166076-54166166	A	54188874-54189011	Distal	54166166-54188874	False	False	False	0.949	0.967	0.01	0.416	0.338
ENSG00000170266.16_1	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33072544-33072715	ENSG00000170266.16_1_afe_1	True	False	33072544-33072713	A	33077094-33077237	Proximal	33072713-33077094	False	False	False	0.022	0.074	0.044	0.815	0.053
ENSG00000170266.16_1	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33072544-33072715	ENSG00000170266.16_1_afe_1	True	False	33072544-33072713	A	33096719-33096835	Distal	33072713-33096719	False	False	False	0.113	0.06	-0.035	0.643	0.115
ENSG00000170266.16_1	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33072544-33072715	ENSG00000170266.16_1_afe_2	True	False	33072544-33072713	A	33096719-33096835	Proximal	33072713-33096719	False	False	False	0.113	0.06	-0.035	0.643	0.115
ENSG00000170266.16_1	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33072544-33072715	ENSG00000170266.16_1_afe_2	True	False	33072544-33072713	A	33097011-33097202	Distal	33072713-33097011	False	False	False	0.867	0.857	-0.002	0.472	0.259
ENSG00000170266.16_2	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33024247-33024425	ENSG00000170266.16_2_afe_1	False	False	33024251-33024325	A	33030032-33030198	Proximal	33024325-33030032	False	False	False	0.011	0.051	0.017	0.457	0.277
ENSG00000170266.16_2	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33024247-33024425	ENSG00000170266.16_2_afe_1	False	False	33024251-33024325	A	33046120-33046232	Distal	33024325-33046120	False	False	False	0.987	0.946	-0.02	0.489	0.243
ENSG00000100526.21_1	ENSG00000100526.21	CDKN3	chr14	+	ENSG00000100526.21:t:54401524-54401579	ENSG00000100526.21_1_afe_1	True	False	54401524-54401579	A	54399926-54399976	Proximal	54399976-54401524	False	True	True	0.856	0.451	-0.403	1.0	0.0
ENSG00000100526.21_1	ENSG00000100526.21	CDKN3	chr14	+	ENSG00000100526.21:t:54401524-54401579	ENSG00000100526.21_1_afe_1	True	False	54401524-54401579	A	54396849-54397077	Distal	54397077-54401524	False	True	True	0.144	0.549	0.403	1.0	0.0
ENSG00000230021.10_2	ENSG00000230021.10	ENSG00000230021	chr1	-	ENSG00000230021.10:t:601398-601577	ENSG00000230021.10_2_afe_1	True	False	601398-601577	A	607955-608056	Proximal	601577-607955	False	False	False	0.94	0.988	0.024	0.447	0.215
ENSG00000230021.10_2	ENSG00000230021.10	ENSG00000230021	chr1	-	ENSG00000230021.10:t:601398-601577	ENSG00000230021.10_2_afe_1	True	False	601398-601577	A	711711-711922	Distal	601577-711711	False	False	False	0.06	0.012	-0.024	0.447	0.215
ENSG00000020577.14_2	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:t:54760161-54760494	ENSG00000020577.14_2_afe_1	False	False	54760161-54760494	A	54754833-54754897	Proximal	54754897-54760161	False	True	True	0.55	0.866	0.254	0.908	0.003
ENSG00000020577.14_2	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:t:54760161-54760494	ENSG00000020577.14_2_afe_1	False	False	54760161-54760494	A	54751451-54751537	Distal	54751537-54760161	False	True	True	0.45	0.134	-0.254	0.908	0.003
ENSG00000020577.14_3	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:t:54784537-54784620	ENSG00000020577.14_3_afe_1	False	False	54784537-54784620	A	54784266-54784447	Proximal	54784447-54784537	False	False	False	0.04	0.083	0.025	0.57	0.162
ENSG00000020577.14_3	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:t:54784537-54784620	ENSG00000020577.14_3_afe_1	False	False	54784537-54784620	A	54776414-54776540	Distal	54776540-54784537	False	False	False	0.938	0.913	-0.015	0.513	0.209
ENSG00000291215.1_3	ENSG00000291215.1	ENSG00000291215	chr1	-	ENSG00000291215.1:t:733307-733364	ENSG00000291215.1_3_afe_1	True	True	733307-733364	A	735419-735613	Proximal	733364-735419	False	False	False	0.014	0.076	0.042	0.704	0.086
ENSG00000291215.1_3	ENSG00000291215.1	ENSG00000291215	chr1	-	ENSG00000291215.1:t:733307-733364	ENSG00000291215.1_3_afe_1	True	True	733307-733364	A	738834-739024	Distal	733364-738834	False	False	False	0.625	0.686	0.036	0.629	0.093
