# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	module_event_combination	denovo	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000182973.20_1	ENSG00000182973.20	CNOT10	chr3	+	ENSG00000182973.20:s:32734800-32734976	ENSG00000182973.20_1_CE_1	False	cassette^1	False	C1_A	32734976-32737410	False	False	False	0.797	0.864	0.044	0.65	0.087
ENSG00000087301.9_1	ENSG00000087301.9	TXNDC16	chr14	-	ENSG00000087301.9:t:52457090-52457174	ENSG00000087301.9_1_afe_1	False	afe^1	False	Proximal	52457174-52462812	False	False	False	0.082	0.111	0.016	0.571	0.118
ENSG00000227232.5_1	ENSG00000227232.5	WASH7P	chr1	-	ENSG00000227232.5:s:17606-17742	ENSG00000227232.5_1_AI_1	False	ir^1	True	C1_C2_intron	17369-17605	False	False	False	0.726	0.599	-0.089	0.818	0.03
ENSG00000146247.15_2	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:t:79003730-79003858	ENSG00000146247.15_2_CE_1	False	cassette^1	False	C2_A	79003858-79004373	False	False	False	0.153	0.136	-0.01	0.582	0.124
ENSG00000146247.15_3	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:s:78997414-78997597	ENSG00000146247.15_3_A3_1	False	alt3^1	False	Proximal	78990985-78997414	False	False	False	0.794	0.753	-0.018	0.571	0.132
ENSG00000146247.15_4	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:s:78969835-78969917	ENSG00000146247.15_4_AI_1	True	ir^1|ale^1	True	C1_C2_intron	78967251-78969834	False	False	False	0.179	0.182	0.006	0.617	0.133
ENSG00000146247.15_5	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:t:78955613-78956112	ENSG00000146247.15_5_AI_1	True	ir^1|afe^1	False	C2_C1_intron	78956113-78957683	False	False	False	0.537	0.341	-0.119	0.82	0.018
ENSG00000146247.15_1	ENSG00000146247.15	PHIP	chr6	-	ENSG00000146247.15:s:79077448-79077507	ENSG00000146247.15_1_ale_1	False	ale^1	False	Proximal	79063910-79077448	False	False	False	0.083	0.083	0.003	0.534	0.166
ENSG00000239945.1_1	ENSG00000239945.1	ENSG00000239945	chr1	-	ENSG00000239945.1:s:90287-91105	ENSG00000239945.1_1_AI_1	False	ir^1	True	C1_C2_intron	90051-90286	False	False	False	0.98	0.931	-0.021	0.496	0.251
ENSG00000198252.12_1	ENSG00000198252.12	STYX	chr14	+	ENSG00000198252.12:t:52757319-52757355	ENSG00000198252.12_1_CE_1	False	cassette^1	False	C2_A	52756611-52757319	False	False	False	0.911	0.926	0.011	0.493	0.234
ENSG00000099290.17_1	ENSG00000099290.17	WASHC2A	chr10	+	ENSG00000099290.17:s:50091431-50091518	ENSG00000099290.17_1_CE_1	False	cassette^1	False	C1_A	50091518-50092162	False	False	False	0.856	0.746	-0.085	0.77	0.034
ENSG00000099290.17_2	ENSG00000099290.17	WASHC2A	chr10	+	ENSG00000099290.17:s:50126057-50126508	ENSG00000099290.17_2_ale_1	False	ale^1	False	Proximal	50126179-50127160	False	False	False	0.962	0.833	-0.076	0.729	0.042
