# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000064961.19_3	ENSG00000064961.19	HMG20B	chr19	+	ENSG00000064961.19:s:3575651-3575660	ENSG00000064961.19_3_A3_1	False	False	3575651-3575660	E2	3576261-3576307	Proximal	3575660-3576261	3	False	False	False	0.938	0.93	-0.004	0.355	0.436
ENSG00000064961.19_3	ENSG00000064961.19	HMG20B	chr19	+	ENSG00000064961.19:s:3575651-3575660	ENSG00000064961.19_3_A3_1	False	True	3575651-3575660	E2	3576261-3576307	Distal	3575660-3576264	3	False	False	False	0.062	0.07	0.004	0.355	0.436
ENSG00000116786.13_2	ENSG00000116786.13	PLEKHM2	chr1	+	ENSG00000116786.13:s:15731192-15731257	ENSG00000116786.13_2_A3_1	False	False	15731192-15731257	E2	15731889-15732048	Proximal	15731257-15731889	61	False	False	False	0.869	0.894	0.01	0.512	0.201
ENSG00000116786.13_2	ENSG00000116786.13	PLEKHM2	chr1	+	ENSG00000116786.13:s:15731192-15731257	ENSG00000116786.13_2_A3_1	False	False	15731192-15731257	E2	15731889-15732048	Distal	15731257-15731950	61	False	False	False	0.131	0.106	-0.01	0.512	0.201
ENSG00000065526.13_2	ENSG00000065526.13	SPEN	chr1	+	ENSG00000065526.13:s:15876202-15876711	ENSG00000065526.13_2_A3_1	False	False	15876202-15876678	E2	15909321-15909481	Proximal	15876678-15909321	3	False	False	False	0.94	0.935	-0.005	0.457	0.27
ENSG00000065526.13_2	ENSG00000065526.13	SPEN	chr1	+	ENSG00000065526.13:s:15876202-15876711	ENSG00000065526.13_2_A3_1	False	False	15876202-15876678	E2	15909321-15909481	Distal	15876678-15909324	3	False	False	False	0.06	0.065	0.005	0.457	0.27
ENSG00000116809.12_1	ENSG00000116809.12	ZBTB17	chr1	-	ENSG00000116809.12:s:15946935-15947123	ENSG00000116809.12_1_A3_1	False	False	15946935-15947123	E2	15946154-15946316	Proximal	15946316-15946935	22	False	False	False	0.035	0.052	0.01	0.412	0.34
ENSG00000116809.12_1	ENSG00000116809.12	ZBTB17	chr1	-	ENSG00000116809.12:s:15946935-15947123	ENSG00000116809.12_1_A3_1	False	False	15946935-15947123	E2	15946154-15946316	Distal	15946294-15946935	22	False	False	False	0.965	0.948	-0.01	0.412	0.34
ENSG00000116809.12_3	ENSG00000116809.12	ZBTB17	chr1	-	ENSG00000116809.12:s:15942529-15942738	ENSG00000116809.12_3_A3_1	False	False	15942529-15942738	E2	15942331-15942441	Proximal	15942441-15942529	21	False	False	False	0.056	0.045	-0.007	0.434	0.315
ENSG00000116809.12_3	ENSG00000116809.12	ZBTB17	chr1	-	ENSG00000116809.12:s:15942529-15942738	ENSG00000116809.12_3_A3_1	False	False	15942529-15942738	E2	15942331-15942441	Distal	15942420-15942529	21	False	False	False	0.944	0.955	0.007	0.434	0.315
ENSG00000077463.15_2	ENSG00000077463.15	SIRT6	chr19	-	ENSG00000077463.15:t:4175028-4175151	ENSG00000077463.15_2_A3_1	False	False	4175680-4175151	E1	4175680-4175151	Proximal	4175151-4175680	40	False	True	True	0.727	0.941	0.162	0.905	0.007
ENSG00000077463.15_2	ENSG00000077463.15	SIRT6	chr19	-	ENSG00000077463.15:t:4175028-4175151	ENSG00000077463.15_2_A3_1	False	False	4175680-4175151	E1	4175680-4175151	Distal	4175111-4175680	40	False	True	True	0.267	0.05	-0.167	0.916	0.006
ENSG00000184908.20_1	ENSG00000184908.20	CLCNKB	chr1	+	ENSG00000184908.20:s:16049815-16049916	ENSG00000184908.20_1_A3_1	False	False	16049815-16049916	E2	16050432-16050600	Proximal	16049916-16050432	84	False	False	False	0.062	0.028	-0.014	0.418	0.263
ENSG00000184908.20_1	ENSG00000184908.20	CLCNKB	chr1	+	ENSG00000184908.20:s:16049815-16049916	ENSG00000184908.20_1_A3_1	False	False	16049815-16049916	E2	16050432-16050600	Distal	16049916-16050516	84	False	False	False	0.938	0.972	0.014	0.418	0.263
