# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:s:17267376-17267527	ENSG00000105393.16_1_A3A5_1	True	False	17267376-17267527	E2	17268756-17268938	E1_E2_J1	17267516-17268756	False	False	False	0.087	0.106	0.017	0.552	0.252
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:s:17267376-17267527	ENSG00000105393.16_1_A3A5_1	True	False	17267376-17267527	E2	17268756-17268938	E1_E2_J2	17267527-17268794	False	False	False	0.468	0.453	-0.01	0.542	0.23
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:t:17268685-17268938	ENSG00000105393.16_1_A3A5_1	True	False	17268756-17268938	E1	17267376-17267527	E2_E1_J1	17267516-17268756	False	False	False	0.091	0.111	0.017	0.539	0.217
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:t:17268685-17268938	ENSG00000105393.16_1_A3A5_1	True	False	17268756-17268938	E1	17267376-17267527	E2_E1_J2	17267527-17268794	False	False	False	0.492	0.476	-0.01	0.53	0.194
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:s:17267376-17267527	ENSG00000105393.16_1_A3A5_2	True	False	17267376-17267527	E2	17268794-17268938	E1_E2_J1	17267516-17268794	False	False	False	0.1	0.061	-0.019	0.492	0.294
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:s:17267376-17267527	ENSG00000105393.16_1_A3A5_2	True	False	17267376-17267527	E2	17268794-17268938	E1_E2_J2	17267527-17268756	False	False	False	0.288	0.317	0.023	0.618	0.164
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:t:17268685-17268938	ENSG00000105393.16_1_A3A5_2	True	False	17268794-17268938	E1	17267376-17267527	E2_E1_J1	17267516-17268794	False	False	False	0.104	0.064	-0.02	0.51	0.234
ENSG00000105393.16_1	ENSG00000105393.16	BABAM1	chr19	+	ENSG00000105393.16:t:17268685-17268938	ENSG00000105393.16_1_A3A5_2	True	False	17268794-17268938	E1	17267376-17267527	E2_E1_J2	17267527-17268756	False	False	False	0.301	0.335	0.021	0.573	0.16
ENSG00000130475.16_3	ENSG00000130475.16	FCHO1	chr19	+		ENSG00000130475.16_3_A3A5_1	True	False	17754592-17754758	E2	17755122-17755191	E1_E2_J1	17754681-17755122	False	False						
ENSG00000130475.16_3	ENSG00000130475.16	FCHO1	chr19	+		ENSG00000130475.16_3_A3A5_1	True	False	17754592-17754758	E2	17755122-17755191	E1_E2_J2	17754758-17755118	False	False						
