# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000156110.15_2	ENSG00000156110.15	ADK	chr10	+	ENSG00000156110.15:s:74224538-74224593	ENSG00000156110.15_2_ale_1	False	False	74224538-74224591	A	74242738-74243033	Proximal	74224591-74242738	False	False	False	0.009	0.099	0.064	0.898	0.021
ENSG00000156110.15_2	ENSG00000156110.15	ADK	chr10	+	ENSG00000156110.15:s:74224538-74224593	ENSG00000156110.15_2_ale_1	False	False	74224538-74224591	A	74314667-74314745	Distal	74224591-74314667	False	False	False	0.991	0.901	-0.064	0.898	0.021
ENSG00000026297.17_2	ENSG00000026297.17	RNASET2	chr6	-	ENSG00000026297.17:s:166946393-166946739	ENSG00000026297.17_2_ale_1	True	True	166946393-166946739	A	166943995-166944397	Proximal	166944398-166946392	False	False	False	0.122	0.112	-0.008	0.543	0.212
ENSG00000026297.17_2	ENSG00000026297.17	RNASET2	chr6	-	ENSG00000026297.17:s:166946393-166946739	ENSG00000026297.17_2_ale_1	True	False	166946682-166946739	A	166943019-166943089	Distal	166943089-166946682	False	False	False	0.875	0.881	0.006	0.542	0.214
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_1	True	False	14772342-14772497	A	14766978-14767109	Proximal	14767109-14772342	False	False	False	0.728	0.725	-0.009	0.652	0.049
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_1	True	False	14772342-14772497	A	14765658-14765804	Distal	14765804-14772342	False	False	False	0.009	0.131	0.07	0.672	0.056
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_2	True	False	14772342-14772497	A	14768791-14768934	Proximal	14768934-14772342	False	False	False	0.254	0.145	-0.056	0.684	0.046
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_2	True	False	14772342-14772497	A	14766978-14767109	Distal	14767109-14772342	False	False	False	0.728	0.725	-0.009	0.652	0.049
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_3	True	False	14772342-14772497	A	14768791-14768934	Proximal	14768934-14772342	False	False	False	0.254	0.145	-0.056	0.684	0.046
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_3	True	False	14772342-14772497	A	14765658-14765804	Distal	14765804-14772342	False	False	False	0.009	0.131	0.07	0.672	0.056
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_4	True	False	14772342-14772497	A	14768791-14768934	Proximal	14768934-14772342	False	False	False	0.254	0.145	-0.056	0.684	0.046
ENSG00000127507.18_1	ENSG00000127507.18	ADGRE2	chr19	-	ENSG00000127507.18:s:14771880-14772497	ENSG00000127507.18_1_ale_4	True	False	14772342-14772497	A	14766978-14767109	Distal	14767109-14772342	False	False	False	0.728	0.725	-0.009	0.652	0.049
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75101867-75101961	ENSG00000079393.21_1_ale_1	True	True	75101867-75101961	A	75099429-75099515	Proximal	75099516-75101866	False	False	False	0.252	0.222	-0.029	0.652	0.085
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75101867-75101961	ENSG00000079393.21_1_ale_1	True	False	75101867-75101961	A	75097712-75097885	Distal	75097885-75101867	False	False	False	0.748	0.778	0.029	0.652	0.085
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_2	True	False	75109009-75109221	A	75103894-75104097	Proximal	75104097-75109009	False	False	False	0.261	0.227	-0.018	0.593	0.112
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_2	True	False	75109009-75109221	A	75097712-75097885	Distal	75097885-75109009	False	False	False	0.299	0.213	-0.047	0.68	0.061
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_3	True	False	75109009-75109221	A	75103894-75104097	Proximal	75104097-75109009	False	False	False	0.261	0.227	-0.018	0.593	0.112
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_3	True	False	75109009-75109221	A	75101867-75101961	Distal	75101961-75109009	False	False	False	0.083	0.085	-0.004	0.539	0.171
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_4	True	False	75109009-75109221	A	75107992-75108209	Proximal	75108209-75109009	False	False	False	0.244	0.405	0.116	0.808	0.019
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_4	True	False	75109009-75109221	A	75103894-75104097	Distal	75104097-75109009	False	False	False	0.261	0.227	-0.018	0.593	0.112
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_5	True	False	75109009-75109221	A	75107992-75108283	Proximal	75108283-75109009	False	False	False	0.084	0.05	-0.015	0.523	0.191
ENSG00000079393.21_1	ENSG00000079393.21	DUSP13	chr10	-	ENSG00000079393.21:s:75109009-75109221	ENSG00000079393.21_1_ale_5	True	False	75109009-75109221	A	75103894-75104097	Distal	75104097-75109009	False	False	False	0.261	0.227	-0.018	0.593	0.112
ENSG00000116497.18_3	ENSG00000116497.18	S100PBP	chr1	+	ENSG00000116497.18:s:32829964-32830067	ENSG00000116497.18_3_ale_1	False	False	32829964-32830067	A	32834034-32834061	Proximal	32830067-32834034	False	False	False	0.078	0.036	-0.036	0.696	0.1
ENSG00000116497.18_3	ENSG00000116497.18	S100PBP	chr1	+	ENSG00000116497.18:s:32829964-32830067	ENSG00000116497.18_3_ale_1	False	False	32829964-32830067	A	32853079-32853166	Distal	32830067-32853079	False	False	False	0.922	0.964	0.036	0.696	0.1
ENSG00000141867.19_3	ENSG00000141867.19	BRD4	chr19	-	ENSG00000141867.19:s:15254152-15254262	ENSG00000141867.19_3_ale_1	True	False	15254152-15254262	A	15247047-15249290	Proximal	15249290-15254152	False	True	True	0.143	0.283	0.138	0.974	0.003
ENSG00000141867.19_3	ENSG00000141867.19	BRD4	chr19	-	ENSG00000141867.19:s:15254152-15254262	ENSG00000141867.19_3_ale_1	True	False	15254152-15254262	A	15244710-15244762	Distal	15244762-15254152	False	True	True	0.852	0.715	-0.138	0.975	0.003
ENSG00000130396.22_7	ENSG00000130396.22	AFDN	chr6	+	ENSG00000130396.22:s:167965757-167966276	ENSG00000130396.22_7_ale_1	True	True	167965757-167966276	A	167968449-167969018	Proximal	167966277-167968448	False	False	False	0.182	0.193	0.006	0.54	0.225
ENSG00000130396.22_7	ENSG00000130396.22	AFDN	chr6	+	ENSG00000130396.22:s:167965757-167966276	ENSG00000130396.22_7_ale_1	True	False	167965757-167966045	A	167969114-167969198	Distal	167966045-167969114	False	False	True	0.739	0.543	-0.169	0.979	0.002
ENSG00000130396.22_7	ENSG00000130396.22	AFDN	chr6	+	ENSG00000130396.22:s:167965757-167966276	ENSG00000130396.22_7_ale_2	True	True	167965757-167966276	A	167968449-167969018	Proximal	167966277-167968448	False	False	False	0.182	0.193	0.006	0.54	0.225
ENSG00000130396.22_7	ENSG00000130396.22	AFDN	chr6	+	ENSG00000130396.22:s:167965757-167966276	ENSG00000130396.22_7_ale_2	True	False	167965757-167966270	A	167969114-167969198	Distal	167966270-167969114	False	False	True	0.044	0.188	0.142	0.994	0.001
ENSG00000130396.22_7	ENSG00000130396.22	AFDN	chr6	+	ENSG00000130396.22:s:167965757-167966276	ENSG00000130396.22_7_ale_3	True	True	167965757-167966276	A	167968449-167969018	Proximal	167966277-167968448	False	False	False	0.182	0.193	0.006	0.54	0.225
ENSG00000130396.22_7	ENSG00000130396.22	AFDN	chr6	+	ENSG00000130396.22:s:167965757-167966276	ENSG00000130396.22_7_ale_3	True	False	167965757-167966276	A	167969114-167969198	Distal	167966276-167969114	False	False	False	0.033	0.057	0.019	0.536	0.253
ENSG00000105127.10_1	ENSG00000105127.10	AKAP8	chr19	-	ENSG00000105127.10:s:15379713-15379815	ENSG00000105127.10_1_ale_1	True	False	15379713-15379815	A	15376976-15377014	Proximal	15377014-15379713	False	False	False	0.818	0.983	0.115	0.868	0.014
ENSG00000105127.10_1	ENSG00000105127.10	AKAP8	chr19	-	ENSG00000105127.10:s:15379713-15379815	ENSG00000105127.10_1_ale_1	True	False	15379713-15379815	A	15372851-15373340	Distal	15373340-15379713	False	False	False	0.09	0.008	-0.035	0.534	0.145
ENSG00000105127.10_1	ENSG00000105127.10	AKAP8	chr19	-	ENSG00000105127.10:s:15379713-15379815	ENSG00000105127.10_1_ale_2	True	False	15379713-15379815	A	15376976-15377014	Proximal	15377014-15379713	False	False	False	0.818	0.983	0.115	0.868	0.014
ENSG00000105127.10_1	ENSG00000105127.10	AKAP8	chr19	-	ENSG00000105127.10:s:15379713-15379815	ENSG00000105127.10_1_ale_2	True	False	15379713-15379815	A	15374603-15374635	Distal	15374635-15379713	False	False	False	0.098	0.008	-0.039	0.578	0.124
ENSG00000100722.20_1	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88563522-88563693	ENSG00000100722.20_1_ale_1	True	False	88563651-88563693	A	88567858-88567916	Proximal	88563693-88567858	False	False	False	0.066	0.003	-0.023	0.524	0.207
ENSG00000100722.20_1	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88563522-88563693	ENSG00000100722.20_1_ale_1	True	False	88563651-88563693	A	88568039-88568153	Distal	88563693-88568039	False	False	False	0.856	0.951	0.075	0.791	0.036
ENSG00000100722.20_1	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88563522-88563693	ENSG00000100722.20_1_ale_2	True	False	88563651-88563693	A	88567858-88567916	Proximal	88563693-88567858	False	False	False	0.066	0.003	-0.023	0.524	0.207
ENSG00000100722.20_1	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88563522-88563693	ENSG00000100722.20_1_ale_2	True	False	88563651-88563693	A	88571084-88571124	Distal	88563693-88571084	False	False	False	0.084	0.046	-0.022	0.551	0.173
ENSG00000100722.20_3	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88577985-88578141	ENSG00000100722.20_3_ale_1	True	False	88577985-88578140	A	88596734-88596808	Proximal	88578140-88596734	False	False	False	0.789	0.752	-0.025	0.57	0.144
ENSG00000100722.20_3	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88577985-88578141	ENSG00000100722.20_3_ale_1	True	False	88577985-88578140	A	88601924-88602009	Distal	88578140-88601924	False	False	False	0.143	0.157	0.011	0.505	0.209
ENSG00000100722.20_3	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88577985-88578141	ENSG00000100722.20_3_ale_2	True	False	88577985-88578140	A	88601924-88602009	Proximal	88578140-88601924	False	False	False	0.143	0.157	0.011	0.505	0.209
ENSG00000100722.20_3	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88577985-88578141	ENSG00000100722.20_3_ale_2	True	False	88577985-88578140	A	88607243-88607363	Distal	88578140-88607243	False	False	False	0.053	0.087	0.016	0.469	0.26
ENSG00000100722.20_3	ENSG00000100722.20	ZC3H14	chr14	+	ENSG00000100722.20:s:88596734-88596808	ENSG00000100722.20_3_ale_3	True	False	88596734-88596808	A	88601924-88602009	Proximal	88596808-88601924	False	False	False	0.789	0.887	0.07	0.826	0.033
